title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Lolita Anime,4813,6,5.96,6566,6003,606,2,1984-02-21,1985-05-25,Finished Airing,OVA,"The first ever hentai OVA, Lolita Anime was released in early 1984. Some of the episodes featured parodies of other famous anime characters . The series' main focus was bondage."
Junjou Romantica 2,4814,12,8.29,155,516,55358,839,2008-10-12,2008-12-28,Finished Airing,TV,The second part of Junjou Romantica continuing the story.
Gakuen 2,4816,2,6.59,4641,4646,1412,6,2007-06-29,2008-06-27,Finished Airing,OVA,"Due to a school conspiracy, Tetsuya is forced to drop out of school. In order to satisfy his need for revenge, Tetsuya needs to get his hands on Haruna, the principal's daughter. However, to do that, he needs another to girl to lure Haruna out. That's where Ayano comes in..."
Genzai Byoto,4817,2,5.62,6934,6810,322,2,1999-06-22,1999-11-18,Finished Airing,OVA,"After the death of Haruki's mother she is taken by her until now unknown father, Shunkei, to Kazumi hospital. The nurses of this hospital seem to have purged into greed, and show absolute bondage to the doctor. Who made these women change in such a way? And which role plays there Haruki's father?"
Houkago Renai Club: Koi no Étude,4818,2,5.52,6864,6705,355,1,1998-04-24,1998-08-21,Finished Airing,OVA,Based on an adult game by Libido.
Nonomura Byouin no Hitobito,4819,2,5.83,6528,6994,278,0,1996-11-08,1997-01-24,Finished Airing,OVA,"Takumaro Kaibara: brilliant detective, daring adventurer, AND TOTAL PERVERT! There's no crime he can't solve, and no skirt he won't chase in the name of justice! So when Takumaro lands a case at Nonomura Hospital , it seems like a match made in Heaven. Now somewhere between his busy schedule of pick-up lines and peeking at the nurses' panties, Takumaro must uncover the truth behind the death of the hospital's president. Was it really a suicide or was it cold-blooded murder? The nurses aren't talking and everyone seems to be hiding something. But Takumaro isn't worried - his biggest challenge is to make it with that cute redhead, or die trying!"
Be-yond,4820,2,6.06,5794,6385,460,1,1998-02-27,1998-05-29,Finished Airing,OVA,"Based on an adult game by ELF. When I woke up from the darkness, I learned that I was the legendary Devil of Darkness that was said to have a power to destroy the universe. The beautiful girls make approaches to me one after another. My shout roars in space. When I touch a villain gently, he decomposes into molecules... It seemed that I have the power... But... am I really the Devil?"
Injuu Kateikyoushi,4821,1,5.71,6716,6592,392,1,1996-11-29,1996-11-29,Finished Airing,OVA,"Seventy years ago, several mysterious murders occurred in Tokyo, Japan. Young, beautiful women were found dead, their bodies dried up like ancient mummies. Now young women are dying the same way and Miho, a 19 year-old college student discovers that a weird stranger is stalking her. While her best friend Azusa, is busy seducing their professor, she discovers he is not human at all, but a horrible tentacle-endowed monster! Now that his dark secret is revealed, both girls are on the run for their life, but can she escape from the hideous monster disguised as a mild-mannered professor?"
Youkai Ningen Bem (2006),4823,26,5.94,6592,5562,790,1,2006-01-04,2006-07-10,Finished Airing,TV,"The plot of the series revolves around three youkai, Bem, Bera and Barro, who arrive at a large coastal city and come across an evil atmosphere, which was brought about by immoral behavior by humans and mischief caused by monsters and youkai. They therefore decide to stay in the city, fighting against other monsters and yōkai which attack humans, making a few friends in the way. Even though the three youkai are often abused by other human beings due to their appearance, they still strive in protecting the human populace of the city from other monsters, one day hoping to become human beings in return for their good actions."
Isourou Tengoku,4824,2,6.09,6077,7389,199,0,1996-12-18,1997-11-25,Finished Airing,OVA,Based on the manga by Aranaga Hikaru
Tenkousei,4825,4,6.16,6218,7667,153,1,1996-03-08,1997-01-24,Finished Airing,OVA,None
_Summer Specials,4827,2,5.67,6771,4652,1408,2,2006-10-27,2007-01-26,Finished Airing,Special,Short specials involving the characters from the main series.
Kigurumi Sentai Quiltian,4832,2,5.58,6901,7350,207,0,1996-07-26,1996-12-24,Finished Airing,OVA,"Twin schoolgirls transform into their superhero aspects to save the world from an evil cabal of would-be dictators, but they can only fight for justice by having a lot of sex."
Esper Bishoujo Manami,4833,1,4.83,7237,6534,407,3,2001-07-27,2001-07-27,Finished Airing,OVA,Manami will prove that she is the best ESP fighter by using her sexual psychic abilities to satisfy and punish evil. While she herself has the best time of her life.
Ecchies,4834,2,5.96,6117,7250,225,1,1997-06-23,1997-08-29,Finished Airing,OVA,"Produced by KSS, PinkPineapple and AIC"
Bleach: Fade to Black - Kimi no Na wo Yobu,4835,1,7.68,915,270,87122,457,2008-12-13,2008-12-13,Finished Airing,Movie,"A mysterious reiatsu explosion occurs in the center of Seireitei in Soul Society, causing it to be destroyed. At the exact same time, a major change overwhelms Kuchiki Rukia, which leaves her losing something important inside. Urahara Kisuke sends Kurosaki Ichigo to Soul Society to investigate the disturbance. Upon reaching Seireitei, Ichigo is set upon and attacked by shinigamis, once allies, who have no memory of him and Rukia. Now alone and on the run, Ichigo must find the missing Rukia and uncover the cause of the mysterious incident before it's too late."
M.E.M.: Yogosareta Junketsu,4840,2,5.78,6343,6104,566,1,2000-08-25,2000-10-27,Finished Airing,OVA,"Deep underground, a scientist is transforming females into sex slaves. Some for selling, some for secret projects for his own enjoyment."
Doukyuusei (OVA): Climax,4841,2,5.67,6823,6911,295,1,1995-12-22,1996-03-15,Finished Airing,OVA,A sequel of Doukyuusei
Doukyuusei 2 (OVA),4842,12,6.04,6325,6776,337,0,1996-03-22,1996-12-18,Finished Airing,OVA,Based on a game by Elf.
Hinadori no Saezuri,4848,2,5.69,6784,6478,427,0,2000-11-26,2001-02-16,Finished Airing,OVA,"Dred Burton was a railroad tycoon who lived in a mansion with many maids who were used to ""serve"" the guests of the house. Now he's dead, but there's a new boss in town and SHE'S just as bad as he was. The Maids are being forced into even more bizarre and debaucherous situations than ever before. How far will things go? When will the pleasurable tortures end?"
Triangle Heart: Sazanami Joshi Ryo,4849,5,5.75,6688,5114,1057,2,2000-08-28,2002-04-26,Finished Airing,OVA,"Based on a game by ivory . Makihara Kosuke works as a substitute janitor of woman dormitory, “Sazanami So”, while the regular janitor, who is his aunt, travels abroad. The contract term is almost over, but he has one thing worried about. Among the member of the dormitory, only Jinnai Mio doesn’t open out to him and doesn’t try to eat his dishes. Then, he makes the former janitor’s favorite dish to let her eat."
Lupin III: Seven Days Rhapsody,4851,1,7.23,2130,4349,1715,1,2006-09-08,2006-09-08,Finished Airing,Special,"Lupin and Jigen planed to steal enormous money from a racetrack in New York. Their plan is perfect and the only thing remains is to wait for 6 days. To celebrate the success beforehand, they go to a town. Lupin parts from Jigen because he recalls another engagement. Then, Lupin saves a girl, Michelle, being chased by suspicious men. She asks Lupin to steal a diamond from her father in order to stop him from doing evil things. Lupin thinks he can get both money and a diamond 6 days later, and he accepts her request to guard her for 6 days. Meanwhile, Jigen meats his old fellow soldier, Ryatte, and they're talking about another business. Then, Jigen is supposed to spends 6 days with Ryatte before the plan with Lupin. On the other hand, Fujiko and Goemon are planning to steal a diamond at a diamond exhibits. The host of the exhibition is&hellip;"
Onna Kyoushi Nijuusan-sai,4852,2,6.12,5984,6021,598,1,2003-01-24,2003-06-27,Finished Airing,OVA,Honjou Rumiko is a school teacher caught in a web of blackmail and deceit.
Tezuka Osamu no Don Dracula,4853,8,6.41,4999,6015,599,1,1982-04-05,1982-04-26,Finished Airing,TV,"After living in Transylvania for several years, ""Earl Dracula"" has moved to Japan. In the Nerima Ward of Tokyo, he and his daughter, Chocola, and faithful servant Igor have taken up residence in an old-Western style house. While Chocola attends Junior High School, Earl Dracula is desperate to drink the blood of beautiful virgin women; an appropriate meal for a vampire of his stature. However, each night that Earl Dracula goes out on the prowl he finds himself getting involved in some kind of disturbance which leads to him causing various trouble for the local residents. With nobody in Japan believing in vampires, his very presence causes trouble amongst the people in town."
Fuuma no Kojirou: Yasha-hen,4854,6,6.80,4285,6222,519,1,1989-06-01,1989-08-02,Finished Airing,OVA,"Hakuo Gakuin is on the verge of closing down due to students transferring to rival school Seishikan after mysterious injuries happening to students who refuse to transfer. To protect the school and its students they hire Kojiro, a member of the Fuma clan of ninjas. After finding out that Seishikan has enlisted the help of the Yasha ninja clan, who had been rivals with the Fuma for generations, Kojiro gains the help of his fellow Fuma ninjas. Even though they are hired to protect the schools, the two rival clans vow to destroy each other once and for all so that only one clan remains."
Fuuma no Kojirou: Seiken Sensou-hen,4855,6,6.72,4445,6367,465,1,1990-09-21,1990-12-01,Finished Airing,OVA,"Hakuo Gakuin used to be a prestigious high school, and famous for martial arts. However, because its rival school; Seishikan, has been cowardly luring it's superior students, Hakuo was going to decline. In order to recover from the situation, the acting principal of Hakuo; Hojo Himeko, sends Yagyu Ranko to the Fuma Village in search of the famous Fuma ninja clan for assistance. The leader of the Fuma sent Kojiro to Hakuo, there he faces the notorious Yasha clan who fights for Seishikan lead by Asuka Musashi. Soon Kojiro's comrades arrive and an all-out ninja war postponed for 500 years begins between the 2 clans."
